timestamp,hash-rate,difficulty
2021-07-21,98551910.4365265,13672594272814.0
2021-07-22,103989257.2192314,13672594272814.0
2021-07-23,91755226.95814537,13672594272814.0
2021-07-24,104668925.56706952,13672594272814.0
2021-07-25,103989257.2192314,13672594272814.0
2021-07-26,101950252.17571706,13672594272814.0
2021-07-27,115543619.13247934,13672594272814.0
2021-07-28,106707930.61058386,13672594272814.0
2021-07-29,108746935.65409821,13672594272814.0
2021-07-30,112824945.7411269,13672594272814.0
2021-07-31,112465862.12588961,14319158983942.734
2021-08-01,110975800.79118258,14496442856349.0
2021-08-02,103048957.87752669,14496442856349.0
2021-08-03,121785132.03707698,14496442856349.0
2021-08-04,98004603.29610927,14496442856349.0
2021-08-05,115299533.28954034,14496442856349.0
2021-08-06,114578911.20648071,14496442856349.0
2021-08-07,120343887.87095772,14496442856349.0
2021-08-08,113858289.12342106,14496442856349.0
2021-08-09,109534556.62506332,14496442856349.0
2021-08-10,118902643.70483847,14496442856349.0
2021-08-11,105931446.20976518,14496442856349.0
2021-08-12,108813934.5420037,14496442856349.0
2021-08-13,108175319.62792763,15324761487407.408
2021-08-14,126820808.5468918,15556093717703.0
2021-08-15,140740165.58252627,15556093717703.0
2021-08-16,124500915.70761941,15556093717703.0
2021-08-17,133007189.45161822,15556093717703.0
2021-08-18,104395177.76725851,15556093717703.0
2021-08-19,119087832.41598378,15556093717703.0
2021-08-20,123727618.0945286,15556093717703.0
2021-08-21,131460594.22543663,15556093717703.0
2021-08-22,126820808.5468918,15556093717703.0
2021-08-23,152339629.77888831,15556093717703.0
2021-08-24,119087832.41598378,15556093717703.0
2021-08-25,130687447.2547367,16431142929372.8
2021-08-26,127844614.11993943,17615033039279.0
2021-08-27,127844614.11993943,17615033039279.0
2021-08-28,123466373.91035247,17615033039279.0
2021-08-29,136601094.53911337,17615033039279.0
2021-08-30,118212485.65884812,17615033039279.0
2021-08-31,126093318.03610466,17615033039279.0
2021-09-01,119963781.7426829,17615033039279.0
2021-09-02,130471558.24569161,17615033039279.0
2021-09-03,129595910.20377423,17615033039279.0
2021-09-04,135725446.49719596,17615033039279.0
2021-09-05,143606278.8744525,17615033039279.0
2021-09-06,150611463.20979166,17615033039279.0
2021-09-07,133974150.41336119,17615033039279.0
2021-09-08,129910433.67934506,18403887482923.086
2021-09-09,125412870.36132078,18415156832118.0
2021-09-10,124497447.94992428,18415156832118.0
2021-09-11,135482516.8866823,18415156832118.0
2021-09-12,134567094.4752858,18415156832118.0
2021-09-13,145552163.4120438,18415156832118.0
2021-09-14,153790965.11461234,18415156832118.0
2021-09-15,129989982.41830327,18415156832118.0
2021-09-16,124497447.94992428,18415156832118.0
2021-09-17,134567094.4752858,18415156832118.0
2021-09-18,141890473.7664578,18415156832118.0
2021-09-19,146467585.8234403,18415156832118.0
2021-09-20,150129275.4690263,18415156832118.0
2021-09-21,113928907.44351819,18632996500113.82
2021-09-22,126546633.84005067,18997641161759.0
2021-09-23,155822347.6388684,18997641161759.0
2021-09-24,139767923.94274256,18997641161759.0
2021-09-25,135990412.4848306,18997641161759.0
2021-09-26,131268523.16244063,18997641161759.0
2021-09-27,146378568.99408844,18997641161759.0
2021-09-28,143545435.4006545,18997641161759.0
2021-09-29,122769122.38213871,18997641161759.0
2021-09-30,161488614.82573634,18997641161759.0
2021-10-01,132212901.02691859,18997641161759.0
2021-10-02,177543038.52186212,18997641161759.0
2021-10-03,141656679.6716985,18997641161759.0
2021-10-04,147411968.39584854,19009120698769.46
2021-10-05,162177735.83152118,19893045048575.0
2021-10-06,129544410.9385932,19893045048575.0
2021-10-07,139433297.2697835,19893045048575.0
2021-10-08,118666635.97428384,19893045048575.0
2021-10-09,148333294.9678548,19893045048575.0
